name,address,city,zip_code,country,phone,additional_phone,email,website,facebook,instagram,category,score,ratings,opening_hours,is_temporarily_closed,is_permanently_closed,lat,lng,url,description,price,menu,booking_link,popular_times,special_category,has_owner,about,poi
Le Ju',"16 Rue des Archives, 75004 Paris, France",Paris,75004,France,+33142781147,,,https://www.instagram.com/leju_restaurant/,,,"Brunch restaurant, Restaurant",4.8,12560,"Thursday 7 AM–2 AM, Friday 7 AM–2 AM, Saturday 7 AM–2 AM, Sunday 7 AM–2 AM, Monday 7 AM–2 AM, Tuesday 7 AM–2 AM, Wednesday 7 AM–2 AM",False,False,48.8576911,2.3548054,https://www.google.com/maps/place/Le%2BJu%27/data=!4m6!3m5!1s0x47e66e1d3b8e6beb:0x82acdee8062c0b85!8m2!3d48.85769!4d2.35481!19sChIJ62uOOx1u5kcRhQssBujerII?authuser=0&hl=en&rclk=1,"Convivial sidewalk brasserie popular for breakfast & brunch, plus daily lunch & dinner sets.",Moderately expensive,,,,,True,,
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",Paris,75001,France,+33145080203,,,http://www.restaurantchouchouparis.fr/,,,"Restaurant, Bar, Meat dish restaurant, Mediterranean restaurant",4.7,10037,"Thursday 8 AM–2 AM, Friday 8 AM–4 AM, Saturday 8 AM–4 AM, Sunday 8 AM–2 AM, Monday 8 AM–2 AM, Tuesday 8 AM–2 AM, Wednesday 8 AM–2 AM",False,False,48.8599744,2.3487234,https://www.google.com/maps/place/Chouchou/data=!4m6!3m5!1s0x47e66f92a9e30c1f:0xa168c03346f62a0a!8m2!3d48.85997!4d2.34872!19sChIJHwzjqZJv5kcRCir2RjPAaKE?authuser=0&hl=en&rclk=1,Classic regional & North African dishes in a buzzy eatery with a terrace & late-night hours.,Moderately expensive,,https://restaurantchouchouparis.fr/reservation,,,True,,
Au Pied de Cochon,"6 Rue Coquillière, 75001 Paris, France",Paris,75001,France,+33140137700,,,https://www.pieddecochon.com//?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,"French restaurant, Breakfast restaurant, Buffet restaurant, Cafe, Family restaurant, Takeout Restaurant, Restaurant, Seafood restaurant",4.3,16227,"Thursday 8 AM–5 AM, Friday 8 AM–5 AM, Saturday 8 AM–5 AM, Sunday 8 AM–5 AM, Monday 8 AM–5 AM, Tuesday 8 AM–5 AM, Wednesday 8 AM–5 AM",False,False,48.863517599999994,2.3437221,https://www.google.com/maps/place/Au%2BPied%2Bde%2BCochon/data=!4m6!3m5!1s0x47e66e22674a0b41:0x3add2de5bc477885!8m2!3d48.86352!4d2.34372!19sChIJQQtKZyJu5kcRhXhHvOUt3To?authuser=0&hl=en&rclk=1,"Relaxed brasserie serving breakfast, local dishes & charcuterie boards, plus draft beer & cocktails.",Expensive,,,,,True,,
Parijs,"6 Rue de Buci, 75006 Paris, France",Paris,75006,France,,,,,,,French restaurant,5,1,,False,False,48.853835,2.3378246,https://www.google.com/maps/place/Parijs/data=!4m6!3m5!1s0x47e6712f36b1fbd1:0xc3618c98c0700d8f!8m2!3d48.85383!4d2.33782!19sChIJ0fuxNi9x5kcRjw1wwJiMYcM?authuser=0&hl=en&rclk=1,,,,,,,False,,
"Ledoyen, Paris","15 Rue de Longchamp, 75016 Paris, France",Paris,75016,France,,,,,,,French restaurant,5,1,,False,False,48.8648683,2.2912263999999998,https://www.google.com/maps/place/Ledoyen%2C%2BParis/data=!4m6!3m5!1s0x47e66f27856838d9:0x2a947859a25fa744!8m2!3d48.86487!4d2.29123!19sChIJ2ThohSdv5kcRRKdfoll4lCo?authuser=0&hl=en&rclk=1,,,,,,,False,,
La Méthode - Restaurant Paris 5,"2 Rue Descartes, 75005 Paris, France",Paris,75005,France,+33143542243,,,https://la-methode-paris.fr/fr,,,"French restaurant, Bar, Restaurant",4.3,604,"Thursday 9 AM–2 AM, Friday 9 AM–2 AM, Saturday 9 AM–2 AM, Sunday 9 AM–2 AM, Monday 9 AM–2 AM, Tuesday 9 AM–2 AM, Wednesday 9 AM–2 AM",False,False,48.847217,2.348376,https://www.google.com/maps/place/La%2BM%C3%A9thode%2B-%2BRestaurant%2BParis%2B5/data=!4m6!3m5!1s0x47e671e613abdd8d:0x546ed10f6a58969f!8m2!3d48.84722!4d2.34838!19sChIJjd2rE-Zx5kcRn5ZYag_RblQ?authuser=0&hl=en&rclk=1,,Moderately expensive,,https://la-methode-paris.fr/fr/booking,,,True,,
Fitzgerald,"54 Bd de la Tour-Maubourg, 75007 Paris, France",Paris,75007,France,+33183648291,,,https://www.fitz-group.fr/fitzgerald-paris,,,"French restaurant, Bistro, Cocktail bar, Event venue, Delivery Restaurant, Takeout Restaurant",4.3,1227,"Thursday 11:30 AM–2 AM, Friday 11:30 AM–2 AM, Saturday 5 PM–2 AM, Sunday 11:30 AM–2 AM, Monday 11:30 AM–2 AM, Tuesday 11:30 AM–2 AM, Wednesday 11:30 AM–2 AM",False,False,48.858591999999994,2.3098590999999997,https://www.google.com/maps/place/Fitzgerald/data=!4m6!3m5!1s0x47e66fd839a84db1:0x94aba7988fb9e67c!8m2!3d48.85859!4d2.30986!19sChIJsU2oOdhv5kcRfOa5j5inq5Q?authuser=0&hl=en&rclk=1,"Stylish, art deco style restaurant featuring upmarket cuisine, plus an intimate cocktail bar.",Expensive,,"https://www.sevenrooms.com/reservations/fitzgerald?venues=fitzgerald,restaurantvesper,abstinence,hollywoodsavoy,lafontainegaillon",,,True,,
Le Ciel de Paris Restaurant,"Tour Maine Montparnasse, 56ème étage Tour Maine Montparnasse, Av. du Maine, 75015 Paris, France",Paris,75015,France,+33140647764,,,http://www.cieldeparis.com/,,,"Restaurant, French restaurant",4.1,7108,"Friday 8:30 AM–2:30 PM 7–11 PM, Saturday 8:30 AM–2:30 PM 7–11 PM, Sunday 8:30 AM–2:30 PM 7–11 PM, Monday 8:30 AM–2:30 PM 7–11 PM, Tuesday 8:30 AM–2:30 PM 7–11 PM, Wednesday 8:30 AM–2:30 PM 7–11 PM, Thursday 8:30 AM–2:30 PM 7–11 PM",False,False,48.842208799999995,2.3218183,https://www.google.com/maps/place/Le%2BCiel%2Bde%2BParis%2BRestaurant/data=!4m6!3m5!1s0x47e671ccae002451:0x555218239c177991!8m2!3d48.84221!4d2.32182!19sChIJUSQArsxx5kcRkXkXnCMYUlU?authuser=0&hl=en&rclk=1,"Glass-walled space in a skyscraper with sweeping views, serving refined French cuisine.",Very expensive,,https://thefork.fr/restaurant/le-ciel-de-paris-r6348?cc=18174-54f&rwg_token=AAiGsoaG689CJovHlyLgejJhVU_xnTX5OxWyZ6nv6nLgl_rT7_xK5jKzDJhtE15GXHWbqdWCAX3Pac6WOy_nI7vPOtI_5XiupgTlYhHJIDLFY-D52M06IJg%3D,,,True,,
Break | Restaurant Paris 17 | Terrasse | Brunch Paris,"119 Bd Pereire, 75017 Paris, France",Paris,75017,France,+33974640993,,,https://www.break-paris.fr/,,,"Restaurant, American restaurant, Bar, Brunch restaurant, Californian restaurant, Cocktail bar, Coffee shop, Event venue, Fondue restaurant, New American restaurant",4.4,975,"Thursday 10 AM–1 AM, Friday 10 AM–1 AM, Saturday 10:30 AM–1 AM, Sunday 10:30 AM–4:30 PM, Monday 10 AM–5 PM, Tuesday 10 AM–1 AM, Wednesday 10 AM–1 AM",False,False,48.8855171,2.2982776,https://www.google.com/maps/place/Break%2B%7C%2BRestaurant%2BParis%2B17%2B%7C%2BTerrasse%2B%7C%2BBrunch%2BParis/data=!4m6!3m5!1s0x47e66f9baa467f31:0xa60c94df6ca3a9ea!8m2!3d48.88552!4d2.29828!19sChIJMX9Gqptv5kcR6qmjbN-UDKY?authuser=0&hl=en&rclk=1,,,,https://www.break-paris.fr/reservations,,,True,,
Les Baux de Paris,"71 Rue Mouffetard, 75005 Paris, France",Paris,75005,France,+33147079158,,,https://www.instagram.com/lesbaux_paris/,,,"Restaurant, Cocktail bar, Family restaurant, Greek restaurant, Live music bar, Mediterranean restaurant, Tapas bar",4.6,1271,"Thursday 11 AM–3:30 PM 6 PM–2 AM, Friday 11 AM–3 PM 5 PM–2 AM, Saturday 11 AM–3 PM 5 PM–2 AM, Sunday 11 AM–3 PM 5 PM–2 AM, Monday 11 AM–3:30 PM 5 PM–2 AM, Tuesday 6 PM–2 AM, Wednesday 6 PM–2 AM",False,False,48.8423157,2.3499635999999997,https://www.google.com/maps/place/Les%2BBaux%2Bde%2BParis/data=!4m6!3m5!1s0x47e671eec74dc053:0x1b056f83aebf2035!8m2!3d48.84232!4d2.34996!19sChIJU8BNx-5x5kcRNSC_roNvBRs?authuser=0&hl=en&rclk=1,"Cocktails & creative French tapas variations at a buzzy, hip bar with stone walls & sidewalk tables.",Moderately expensive,,https://thefork.fr/restaurant/les-baux-de-paris-r323767?cc=18174-54f&rwg_token=AAiGsoaa2dsB8CXNXb7XB1AP-i5O0rrfkouTBHuXdN1Wps5NRilBpiJDw-P-quR_qabSnLlzKb9mT8lsTUouiEdJrEtU7xLRDpWRnr8RDbbC27eurujhfSg%3D,,,True,,
